voxel_size,num_points,fpfh,fpfh+icp,pca,pca+icp
1,29613,3.19233,1.11036,2577.85716,2672.05739
2,8263,1.51687,1.12713,2640.62596,2439.06767
3,3873,2.03372,1.18044,370.2956,3.22495
4,2283,519.77833,382.83185,2633.17455,2664.65124
5,1449,150.91408,1.00298,2626.40857,2646.13936
6,1035,186.95435,1.83306,3144.23206,2467.10342
7,784,1.09607,1.23063,2782.62606,2507.81229
8,600,7845.36542,7887.99673,3924.82102,3815.58808
9,472,109.42272,1.09453,2188.59803,2087.25121
10,384,2071.38652,2109.04632,2748.54431,2809.09537
